year,participant_id,custody_count
2015,6120,1
2017,6041,1
2015,6041,1
2018,6010,1
2016,3041,1
2015,3031,1
2017,6021,1
2015,3020,1
2015,6031,1
2015,6020,1
2013,3131,1
2016,3020,1
2017,6131,1
2018,6110,1
2017,6010,1
2014,3031,1
2014,3120,1
2013,6040,2
2015,6131,2
2014,6120,2
2016,6141,2
2015,3041,2
2016,6131,2
2013,1110,2
2017,3020,2
2018,3010,2
2013,1041,2
2018,6131,2
2013,1021,2
2013,6130,3
2013,6030,3
2013,1131,3
2018,6121,3
2014,1020,3
2016,6011,3
2017,3041,4
2014,6011,4
2013,3040,4
2013,3121,4
2018,3120,5
2018,1020,5
2013,3140,5
2018,3011,6
2014,1031,6
2017,3031,6
2018,3110,7
2017,3011,7
2014,3131,7
2017,3010,7
2013,3030,7
2013,6140,7
2018,3131,8
2014,3011,8
2016,6121,9
2017,6110,9
2017,6011,9
2014,6010,10
2014,3021,10
2015,6011,10
2013,1141,11
2016,3011,11
2014,3141,11
2013,3130,12
2018,1031,12
2018,3141,12
2013,1111,13
2015,3011,14
2018,6040,15
2014,6030,15
2015,3120,15
2017,3120,16
2016,6010,17
2017,6121,18
2015,6121,18
2014,3010,19
2014,1041,20
2014,6040,21
2018,6111,21
2015,3141,21
2016,3120,22
2016,6110,22
2014,6110,22
2015,3131,23
2016,1020,23
2017,3110,24
2015,1020,24
2015,1031,24
2016,1031,25
2018,1041,25
2015,6010,26
2018,6140,26
2014,6111,28
2014,3110,28
2017,1020,29
2014,3040,31
2013,1040,32
2016,3141,34
2015,3010,35
2015,1041,35
2018,3040,36
2018,6030,37
2016,3131,38
2016,3010,38
2015,6040,41
2018,1120,42
2014,1120,42
2015,3021,45
2018,3021,45
2015,3040,46
2016,3110,46
2018,6130,46
2015,6110,48
2014,6140,49
2014,3030,51
2017,1031,53
2014,6130,54
2016,6111,55
2017,3141,55
2018,1011,56
2016,6040,57
2015,6030,58
2018,1010,59
2016,1041,61
2017,6111,62
2015,3110,62
2018,3030,63
2013,1030,64
2015,6111,65
2018,3111,66
2016,3040,71
2015,6140,74
2017,3131,75
2013,1121,75
2016,3021,76
2017,6040,79
2015,3030,81
2013,1140,90
2016,6030,90
2016,6140,102
2017,1041,106
2017,3040,110
2017,3021,115
2015,6130,119
2018,3140,127
2013,1130,128
2014,1131,132
2014,1011,134
2016,6130,146
2017,6140,147
2017,6030,148
2014,1021,163
2014,3130,167
2015,1011,167
2014,3140,171
2016,3030,175
2015,3111,187
2015,3140,187
2016,1011,192
2014,1010,199
2016,3111,200
2014,3111,202
2018,1110,210
2018,1131,219
2015,1120,221
2015,1131,223
2014,1030,232
2017,1120,238
2014,1141,250
2014,3121,257
2017,6130,268
2017,3111,287
2014,1040,288
2017,1011,293
2016,1120,295
2016,3140,300
2017,1010,307
2018,3130,313
2017,3030,332
2014,1110,391
2015,3130,410
2016,1131,429
2018,1040,464
2018,1021,490
2018,3121,530
2018,1141,533
2018,1030,577
2015,1040,603
2017,3140,613
2015,1010,678
2015,1141,760
2015,1030,766
2016,1010,821
2016,3130,864
2017,1131,982
2014,1140,993
2015,1021,1038
2016,1040,1043
2014,1130,1051
2017,1110,1060
2015,3121,1106
2015,1110,1197
2018,1111,1305
2016,1141,1337
2016,3121,1395
2016,1110,1442
2016,1021,1444
2016,1030,1585
2017,3130,1688
2018,1140,1824
2014,1121,1884
2014,1111,1907
2017,1040,1907
2017,1141,2117
2015,1140,2141
2017,1021,2221
2017,3121,2266
2015,1111,2760
2018,1130,2810
2017,1030,3115
2015,1130,3502
2016,1111,4366
2016,1140,4572
2018,1121,4800
2017,1111,6367
2016,1130,8578
2017,1140,9364
2015,1121,10675
2016,1121,15266
2017,1130,16632
2017,1121,22878
