year,month,pct_gravity_month (%)
2013,1,6.6666
2013,2,8.6274
2013,3,14.9019
2013,4,9.0196
2013,5,11.7647
2013,6,9.8039
2013,7,7.0588
2013,8,7.8431
2013,9,11.3725
2013,10,5.4901
2013,11,3.9215
2013,12,3.5294
2014,1,6.4784
2014,2,4.6755
2014,3,7.0827
2014,4,6.3694
2014,5,7.3501
2014,6,7.1619
2014,7,6.7062
2014,8,7.7563
2014,9,7.0827
2014,10,8.3209
2014,11,7.3501
2014,12,23.6651
2015,1,7.6598
2015,2,6.057
2015,3,8.4354
2015,4,8.5414
2015,5,9.229
2015,6,7.7581
2015,7,9.1773
2015,8,9.0171
2015,9,8.3682
2015,10,8.8697
2015,11,7.9339
2015,12,8.9524
2016,1,6.7552
2016,2,6.3251
2016,3,7.383
2016,4,6.6282
2016,5,6.7062
2016,6,7.2342
2016,7,7.2596
2016,8,10.7597
2016,9,9.876
2016,10,9.3281
2016,11,9.8379
2016,12,11.9064
2017,1,9.2574
2017,2,8.1169
2017,3,8.6989
2017,4,8.3301
2017,5,9.023
2017,6,8.8238
2017,7,9.2704
2017,8,7.8423
2017,9,7.1095
2017,10,7.9401
2017,11,7.9331
2017,12,7.6538
2018,1,39.8683
2018,2,31.249
2018,3,28.8827
